"Date","Price","Open","High","Low","Change %"
"Dec 07, 2021","13.783","13.783","13.783","13.783","2.96%"
"Dec 06, 2021","13.387","13.387","13.387","13.387","-1.25%"
"Dec 02, 2021","13.555","13.555","13.555","13.555","-1.19%"
"Nov 30, 2021","13.719","13.719","13.719","13.719","-1.65%"
"Nov 29, 2021","13.949","13.949","13.949","13.949","0.78%"
"Nov 26, 2021","13.841","13.841","13.841","13.841","-2.08%"
"Nov 25, 2021","14.135","14.135","14.135","14.135","0.17%"
"Nov 24, 2021","14.112","14.112","14.112","14.112","0.60%"
"Nov 23, 2021","14.027","14.027","14.027","14.027","-1.14%"
"Nov 22, 2021","14.189","14.189","14.189","14.189","-1.20%"
"Nov 19, 2021","14.361","14.361","14.361","14.361","0.31%"
"Nov 18, 2021","14.317","14.317","14.317","14.317","-0.01%"
"Nov 17, 2021","14.319","14.319","14.319","14.319","-0.08%"
"Nov 16, 2021","14.330","14.330","14.330","14.330","0.96%"
"Nov 15, 2021","14.194","14.194","14.194","14.194","0.10%"
"Nov 12, 2021","14.180","14.180","14.180","14.180","1.10%"
"Nov 11, 2021","14.026","14.026","14.026","14.026","1.34%"
"Nov 10, 2021","13.840","13.840","13.840","13.840","-1.18%"
"Nov 09, 2021","14.005","14.005","14.005","14.005","-0.21%"
"Nov 08, 2021","14.034","14.034","14.034","14.034","0.68%"
"Nov 05, 2021","13.939","13.939","13.939","13.939","-0.41%"
"Nov 04, 2021","13.996","13.996","13.996","13.996","1.11%"
"Nov 03, 2021","13.843","13.843","13.843","13.843","0.75%"
"Nov 02, 2021","13.739","13.739","13.739","13.739","1.08%"
"Oct 29, 2021","13.592","13.592","13.592","13.592","-0.37%"
"Oct 28, 2021","13.642","13.642","13.642","13.642","1.56%"
"Oct 27, 2021","13.432","13.432","13.432","13.432","-0.53%"
"Oct 26, 2021","13.504","13.504","13.504","13.504","0.01%"
"Oct 25, 2021","13.503","13.503","13.503","13.503","0.59%"
"Oct 22, 2021","13.424","13.424","13.424","13.424","-0.05%"
"Oct 21, 2021","13.430","13.430","13.430","13.430","0.40%"
"Oct 20, 2021","13.376","13.376","13.376","13.376","-0.23%"
"Oct 19, 2021","13.408","13.408","13.408","13.408","0.81%"
"Oct 18, 2021","13.300","13.300","13.300","13.300","0.51%"
"Oct 15, 2021","13.232","13.232","13.232","13.232","0.50%"
"Oct 14, 2021","13.167","13.167","13.167","13.167","1.17%"
"Oct 13, 2021","13.014","13.014","13.014","13.014","1.60%"
"Oct 12, 2021","12.809","12.809","12.809","12.809","0.57%"
"Oct 11, 2021","12.737","12.737","12.737","12.737","-0.53%"
"Oct 08, 2021","12.804","12.804","12.804","12.804","-0.79%"
"Oct 07, 2021","12.906","12.906","12.906","12.906","1.45%"
"Oct 06, 2021","12.721","12.721","12.721","12.721","2.16%"
"Oct 04, 2021","12.452","12.452","12.452","12.452","-2.43%"
"Oct 01, 2021","12.762","12.762","12.762","12.762","0.03%"
"Sep 30, 2021","12.758","12.758","12.758","12.758","0.44%"
"Sep 29, 2021","12.703","12.703","12.703","12.703","-0.19%"
"Sep 28, 2021","12.727","12.727","12.727","12.727","-3.43%"
"Sep 27, 2021","13.179","13.179","13.179","13.179","-0.95%"
"Sep 24, 2021","13.305","13.305","13.305","13.305","-1.00%"
"Sep 23, 2021","13.440","13.440","13.440","13.440","1.43%"
"Sep 22, 2021","13.250","13.250","13.250","13.250","0.77%"
"Sep 21, 2021","13.148","13.148","13.148","13.148","0.60%"
"Sep 20, 2021","13.070","13.070","13.070","13.070","-1.68%"
"Sep 17, 2021","13.294","13.294","13.294","13.294","-0.42%"
"Sep 16, 2021","13.349","13.349","13.349","13.349","0.38%"
"Sep 15, 2021","13.299","13.299","13.299","13.299","-0.42%"
"Sep 14, 2021","13.354","13.354","13.354","13.354","-0.15%"
"Sep 13, 2021","13.374","13.374","13.374","13.374","-0.16%"
"Sep 10, 2021","13.396","13.396","13.396","13.396","-0.40%"
"Sep 09, 2021","13.449","13.449","13.449","13.449","-0.42%"
"Sep 08, 2021","13.506","13.506","13.506","13.506","-0.76%"
"Sep 07, 2021","13.608","13.608","13.608","13.608","-0.05%"
"Sep 06, 2021","13.615","13.615","13.615","13.615","0.37%"
"Sep 03, 2021","13.565","13.565","13.565","13.565","-0.19%"
"Sep 02, 2021","13.590","13.590","13.590","13.590","0.50%"
"Sep 01, 2021","13.523","13.523","13.523","13.523","0.92%"
"Aug 31, 2021","13.399","13.399","13.399","13.399","0.04%"
"Aug 30, 2021","13.394","13.394","13.394","13.394","0.67%"
"Aug 27, 2021","13.305","13.305","13.305","13.305","0.81%"
"Aug 26, 2021","13.198","13.198","13.198","13.198","-0.91%"
"Aug 25, 2021","13.318","13.318","13.318","13.318","0.16%"
"Aug 24, 2021","13.297","13.297","13.297","13.297","0.51%"
"Aug 23, 2021","13.229","13.229","13.229","13.229","1.26%"
"Aug 20, 2021","13.064","13.064","13.064","13.064","0.80%"
"Aug 19, 2021","12.960","12.960","12.960","12.960","-0.73%"
"Aug 18, 2021","13.055","13.055","13.055","13.055","-0.18%"
"Aug 17, 2021","13.079","13.079","13.079","13.079","-0.48%"
"Aug 16, 2021","13.143","13.143","13.143","13.143","-0.90%"
"Aug 13, 2021","13.262","13.262","13.262","13.262","-0.11%"
"Aug 12, 2021","13.276","13.276","13.276","13.276","0.21%"
"Aug 11, 2021","13.249","13.249","13.249","13.249","-0.23%"
"Aug 10, 2021","13.279","13.279","13.279","13.279","-0.25%"
"Aug 09, 2021","13.312","13.312","13.312","13.312","0.54%"
"Aug 06, 2021","13.240","13.240","13.240","13.240","-0.29%"
"Aug 05, 2021","13.279","13.279","13.279","13.279","0.23%"
"Aug 04, 2021","13.249","13.249","13.249","13.249","0.77%"
"Aug 03, 2021","13.148","13.148","13.148","13.148","0.40%"
"Aug 02, 2021","13.096","13.096","13.096","13.096","0.57%"
"Jul 30, 2021","13.021","13.021","13.021","13.021","-0.91%"
"Jul 29, 2021","13.141","13.141","13.141","13.141","-0.12%"
"Jul 28, 2021","13.157","13.157","13.157","13.157","1.54%"
"Jul 27, 2021","12.958","12.958","12.958","12.958","-1.46%"
"Jul 26, 2021","13.149","13.149","13.149","13.149","-0.90%"
"Jul 23, 2021","13.269","13.269","13.269","13.269","0.54%"
"Jul 22, 2021","13.197","13.197","13.197","13.197","0.52%"
"Jul 21, 2021","13.129","13.129","13.129","13.129","2.01%"
"Jul 19, 2021","12.871","12.871","12.871","12.871","-0.94%"
"Jul 16, 2021","12.993","12.993","12.993","12.993","-1.48%"
"Jul 14, 2021","13.188","13.188","13.188","13.188","-0.37%"
"Jul 13, 2021","13.238","13.238","13.238","13.238","0.04%"
"Jul 12, 2021","13.233","13.233","13.233","13.233","0.24%"
"Jul 09, 2021","13.201","13.201","13.201","13.201","1.15%"
"Jul 08, 2021","13.051","13.051","13.051","13.051","-1.20%"
"Jul 07, 2021","13.209","13.209","13.209","13.209","0.07%"
"Jul 06, 2021","13.199","13.199","13.199","13.199","0.20%"
"Jul 05, 2021","13.173","13.173","13.173","13.173","-0.18%"
"Jul 02, 2021","13.196","13.196","13.196","13.196","0.57%"
"Jul 01, 2021","13.122","13.122","13.122","13.122","-0.02%"
"Jun 30, 2021","13.124","13.124","13.124","13.124","-0.64%"
"Jun 29, 2021","13.209","13.209","13.209","13.209","0.61%"
"Jun 28, 2021","13.129","13.129","13.129","13.129","0.57%"
"Jun 25, 2021","13.055","13.055","13.055","13.055","0.17%"
"Jun 24, 2021","13.033","13.033","13.033","13.033","0.96%"
"Jun 23, 2021","12.909","12.909","12.909","12.909","-0.62%"
"Jun 22, 2021","12.989","12.989","12.989","12.989","0.47%"
"Jun 21, 2021","12.929","12.929","12.929","12.929","0.38%"
"Jun 18, 2021","12.880","12.880","12.880","12.880","-0.78%"
"Jun 17, 2021","12.981","12.981","12.981","12.981","1.59%"
"Jun 16, 2021","12.779","12.779","12.779","12.779","-0.01%"
"Jun 15, 2021","12.780","12.780","12.780","12.780","-0.50%"
"Jun 14, 2021","12.844","12.844","12.844","12.844","0.47%"
"Jun 11, 2021","12.784","12.784","12.784","12.784","1.17%"
"Jun 09, 2021","12.637","12.637","12.637","12.637","-0.16%"
"Jun 08, 2021","12.657","12.657","12.657","12.657","0.19%"
"Jun 07, 2021","12.633","12.633","12.633","12.633","-0.01%"
"Jun 04, 2021","12.634","12.634","12.634","12.634","-0.03%"
"Jun 02, 2021","12.637","12.637","12.637","12.637","0.36%"
"Jun 01, 2021","12.592","12.592","12.592","12.592","0.52%"
"May 31, 2021","12.527","12.527","12.527","12.527","-0.51%"
"May 28, 2021","12.591","12.591","12.591","12.591","0.65%"
"May 27, 2021","12.511","12.511","12.511","12.511","0.52%"
"May 26, 2021","12.446","12.446","12.446","12.446","0.55%"
"May 25, 2021","12.378","12.378","12.378","12.378","-0.10%"
"May 24, 2021","12.391","12.391","12.391","12.391","0.48%"
"May 21, 2021","12.331","12.331","12.331","12.331","0.31%"
"May 20, 2021","12.293","12.293","12.293","12.293","1.71%"
"May 19, 2021","12.087","12.087","12.087","12.087","-0.42%"
"May 18, 2021","12.138","12.138","12.138","12.138","-0.20%"
"May 17, 2021","12.162","12.162","12.162","12.162","-0.21%"
"May 14, 2021","12.188","12.188","12.188","12.188","1.61%"
"May 13, 2021","11.994","11.994","11.994","11.994","0.02%"
"May 12, 2021","11.992","11.992","11.992","11.992","-1.09%"
"May 11, 2021","12.125","12.125","12.125","12.125","-0.73%"
"May 10, 2021","12.214","12.214","12.214","12.214","-1.89%"
"May 07, 2021","12.449","12.449","12.449","12.449","0.81%"
"May 06, 2021","12.349","12.349","12.349","12.349","-0.16%"
"May 05, 2021","12.369","12.369","12.369","12.369","0.58%"
"May 04, 2021","12.297","12.297","12.297","12.297","-1.76%"
"May 03, 2021","12.517","12.517","12.517","12.517","0.11%"
"Apr 30, 2021","12.502","12.502","12.502","12.502","-0.61%"
"Apr 29, 2021","12.580","12.580","12.580","12.580","-0.52%"
"Apr 28, 2021","12.645","12.645","12.645","12.645","-0.09%"
"Apr 27, 2021","12.657","12.657","12.657","12.657","-0.13%"
"Apr 26, 2021","12.674","12.674","12.674","12.674","0.27%"
"Apr 23, 2021","12.640","12.640","12.640","12.640","0.47%"
"Apr 22, 2021","12.581","12.581","12.581","12.581","0.36%"
"Apr 21, 2021","12.536","12.536","12.536","12.536","1.07%"
"Apr 20, 2021","12.403","12.403","12.403","12.403","-1.41%"
"Apr 19, 2021","12.580","12.580","12.580","12.580","-1.02%"
"Apr 16, 2021","12.710","12.710","12.710","12.710","0.56%"
"Apr 13, 2021","12.639","12.639","12.639","12.639","0.60%"
"Apr 12, 2021","12.564","12.564","12.564","12.564","-0.20%"
"Apr 09, 2021","12.589","12.589","12.589","12.589","1.21%"
"Apr 07, 2021","12.439","12.439","12.439","12.439","-1.00%"
"Apr 06, 2021","12.564","12.564","12.564","12.564","0.26%"
"Apr 05, 2021","12.532","12.532","12.532","12.532","0.25%"
"Apr 01, 2021","12.500","12.500","12.500","12.500","0.71%"
"Mar 31, 2021","12.412","12.412","12.412","12.412","0.71%"
"Mar 30, 2021","12.325","12.325","12.325","12.325","0.61%"
"Mar 29, 2021","12.250","12.250","12.250","12.250","-0.11%"
"Mar 26, 2021","12.263","12.263","12.263","12.263","1.13%"
"Mar 25, 2021","12.126","12.126","12.126","12.126","0.08%"
"Mar 24, 2021","12.116","12.116","12.116","12.116","-1.11%"
"Mar 23, 2021","12.252","12.252","12.252","12.252","-0.26%"
"Mar 22, 2021","12.284","12.284","12.284","12.284","0.15%"
"Mar 19, 2021","12.266","12.266","12.266","12.266","0.36%"
"Mar 18, 2021","12.222","12.222","12.222","12.222","-1.31%"
"Mar 17, 2021","12.384","12.384","12.384","12.384","0.35%"
"Mar 16, 2021","12.340","12.340","12.340","12.340","0.11%"
"Mar 15, 2021","12.327","12.327","12.327","12.327","0.53%"
"Mar 12, 2021","12.263","12.263","12.263","12.263","-0.61%"
"Mar 11, 2021","12.337","12.337","12.337","12.337","1.82%"
"Mar 10, 2021","12.117","12.117","12.117","12.117","0.24%"
"Mar 09, 2021","12.088","12.088","12.088","12.088","2.71%"
"Mar 08, 2021","11.769","11.769","11.769","11.769","-0.80%"
"Mar 05, 2021","11.865","11.865","11.865","11.865","0.49%"
"Mar 04, 2021","11.807","11.807","11.807","11.807","-1.65%"
"Mar 03, 2021","12.005","12.005","12.005","12.005","-1.68%"
"Mar 02, 2021","12.210","12.210","12.210","12.210","-0.77%"
"Mar 01, 2021","12.305","12.305","12.305","12.305","2.61%"
"Feb 26, 2021","11.992","11.992","11.992","11.992","0.47%"
"Feb 25, 2021","11.936","11.936","11.936","11.936","-2.05%"
"Feb 24, 2021","12.186","12.186","12.186","12.186","0.19%"
