"Date","Price","Open","High","Low","Change %"
"Jun 21, 2022","106.712","106.712","106.712","106.712","1.41%"
"Jun 20, 2022","105.225","105.225","105.225","105.225","-0.05%"
"Jun 17, 2022","105.282","105.282","105.282","105.282","0.66%"
"Jun 16, 2022","104.588","104.588","104.588","104.588","-3.51%"
"Jun 15, 2022","108.393","108.393","108.393","108.393","2.24%"
"Jun 14, 2022","106.019","106.019","106.019","106.019","-0.25%"
"Jun 13, 2022","106.286","106.286","106.286","106.286","-4.01%"
"Jun 10, 2022","110.724","110.724","110.724","110.724","-2.26%"
"Jun 09, 2022","113.287","113.287","113.287","113.287","-3.01%"
"Jun 08, 2022","116.802","116.802","116.802","116.802","-0.03%"
"Jun 07, 2022","116.837","116.837","116.837","116.837","1.16%"
"Jun 06, 2022","115.495","115.495","115.495","115.495","0.79%"
"Jun 03, 2022","114.591","114.591","114.591","114.591","-2.24%"
"Jun 02, 2022","117.213","117.213","117.213","117.213","3.31%"
"Jun 01, 2022","113.455","113.455","113.455","113.455","-0.68%"
"May 31, 2022","114.229","114.229","114.229","114.229","0.34%"
"May 30, 2022","113.844","113.844","113.844","113.844","-0.15%"
"May 27, 2022","114.018","114.018","114.018","114.018","2.45%"
"May 26, 2022","111.291","111.291","111.291","111.291","2.45%"
"May 25, 2022","108.634","108.634","108.634","108.634","1.65%"
"May 24, 2022","106.875","106.875","106.875","106.875","-2.98%"
"May 23, 2022","110.155","110.155","110.155","110.155","0.46%"
"May 20, 2022","109.653","109.653","109.653","109.653","-0.24%"
"May 19, 2022","109.916","109.916","109.916","109.916","0.06%"
"May 18, 2022","109.847","109.847","109.847","109.847","-3.56%"
"May 17, 2022","113.904","113.904","113.904","113.904","1.91%"
"May 16, 2022","111.769","111.769","111.769","111.769","-1.49%"
"May 13, 2022","113.459","113.459","113.459","113.459","3.89%"
"May 12, 2022","109.207","109.207","109.207","109.207","0.68%"
"May 11, 2022","108.466","108.466","108.466","108.466","-0.68%"
"May 10, 2022","109.211","109.211","109.211","109.211","0.95%"
"May 09, 2022","108.183","108.183","108.183","108.183","-4.29%"
"May 06, 2022","113.035","113.035","113.035","113.035","-1.98%"
"May 05, 2022","115.313","115.313","115.313","115.313","-3.98%"
"May 04, 2022","120.093","120.093","120.093","120.093","1.63%"
"May 03, 2022","118.168","118.168","118.168","118.168","-0.25%"
"May 02, 2022","118.459","118.459","118.459","118.459","0.75%"
"Apr 29, 2022","117.577","117.577","117.577","117.577","-2.98%"
"Apr 28, 2022","121.183","121.183","121.183","121.183","3.75%"
"Apr 27, 2022","116.800","116.800","116.800","116.800","1.34%"
"Apr 26, 2022","115.251","115.251","115.251","115.251","-2.49%"
"Apr 25, 2022","118.195","118.195","118.195","118.195","1.12%"
"Apr 22, 2022","116.889","116.889","116.889","116.889","-2.65%"
"Apr 21, 2022","120.070","120.070","120.070","120.070","-2.17%"
"Apr 20, 2022","122.731","122.731","122.731","122.731","-0.90%"
"Apr 19, 2022","123.851","123.851","123.851","123.851","2.38%"
"Apr 18, 2022","120.976","120.976","120.976","120.976","-0.13%"
"Apr 14, 2022","121.133","121.133","121.133","121.133","-1.82%"
"Apr 13, 2022","123.376","123.376","123.376","123.376","1.80%"
"Apr 12, 2022","121.200","121.200","121.200","121.200","-0.33%"
"Apr 11, 2022","121.606","121.606","121.606","121.606","-1.96%"
"Apr 08, 2022","124.038","124.038","124.038","124.038","-0.39%"
"Apr 07, 2022","124.524","124.524","124.524","124.524","-0.17%"
"Apr 06, 2022","124.736","124.736","124.736","124.736","-2.39%"
"Apr 05, 2022","127.795","127.795","127.795","127.795","-1.91%"
"Apr 04, 2022","130.288","130.288","130.288","130.288","1.95%"
